LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:182441	http://biodiversity.org.au/apni.publication/182441	Brenner, M.M.W., Floristik Handbok. 1886.		1886	Brenner, M.M.W., Floristik Handbok. 1886.			Florist. Handb.	
urn:lsid:biodiversity.org.au:apni.publication:180643	http://biodiversity.org.au/apni.publication/180643	Maiden, J.H., A Critical Revision of the Genus Eucalyptus. 1903-1931.		1903-1931	Maiden, J.H., A Critical Revision of the Genus Eucalyptus. 1903-1931.			Crit. revis. Eucalyptus	
urn:lsid:biodiversity.org.au:apni.publication:180644	http://biodiversity.org.au/apni.publication/180644	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 2, South-western and southern Australia. 1990, 1994.		1990, 1994	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 2, South-western and southern Australia. 1990, 1994.				Inkata Press
urn:lsid:biodiversity.org.au:apni.publication:180645	http://biodiversity.org.au/apni.publication/180645	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 1, South-eastern Australia. 1983, 1990, 1999.		1983, 1990, 1999	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 1, South-eastern Australia. 1983, 1990, 1999.				Inkata Press
urn:lsid:biodiversity.org.au:apni.publication:180647	http://biodiversity.org.au/apni.publication/180647	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 3, Northern Australia. 1994, 2004.		1994, 2004	Brooker, M.I.H. & Kleinig, D.A., Field Guide to Eucalypts. Volume 3, Northern Australia. 1994, 2004.				Inkata Press
urn:lsid:biodiversity.org.au:apni.publication:180650	http://biodiversity.org.au/apni.publication/180650	Lindley, J., Paxton's Flower Garden. 1851.		1851	Lindley, J., Paxton's Flower Garden. 1851.				Bradbury & Evans
urn:lsid:biodiversity.org.au:apni.publication:180655	http://biodiversity.org.au/apni.publication/180655	Sitzungsberichte der Bayerischen Akademie der Wissenschaften in M~ynchen. 1886.		1886	Sitzungsberichte der Bayerischen Akademie der Wissenschaften in M~ynchen. 1886.				
urn:lsid:biodiversity.org.au:apni.publication:180662	http://biodiversity.org.au/apni.publication/180662	Annales de Flore et de Pomone; ou journal des jardins et des champs. 1832/33-48.		1832/33-48	Annales de Flore et de Pomone; ou journal des jardins et des champs. 1832/33-48.			Ann. Fl. Pomone	
urn:lsid:biodiversity.org.au:apni.publication:180664	http://biodiversity.org.au/apni.publication/180664	Beitraga zur Systematik der Nyctaginaceen. 1897.		1897	Beitraga zur Systematik der Nyctaginaceen. 1897.				
urn:lsid:biodiversity.org.au:apni.publication:180665	http://biodiversity.org.au/apni.publication/180665	Mueller, F.J.H. von, The Plants Indigenous to the Colony of Victoria. 1864-1865.		1864-1865	Mueller, F.J.H. von, The Plants Indigenous to the Colony of Victoria. 1864-1865.			Pl. Victoria	Government Printer
